event,sector,region,trkID,c_layer,z_layer,x0,y0,z0,r,phi,theta,eta,c_x0,c_y0,c_z0,z_x0,z_y0,z_z0
2090,3,3,2,6,5,22.0802139,-2.859474383,20.76259995,22.26460059,-0.1287871433,0.82029216,0.8328578755,19.28170967,-11.13230038,20.76259995,20.59263229,-2.666826725,1.482499957
2090,1,1,3,1,2,-14.02019799,-4.628981485,-9.454299927,14.76460027,-2.822696123,2.140347599,-0.6031034204,-12.78651905,-7.3822999,-9.454299927,-15.4444828,-5.099230766,2.058000088
2090,1,2,3,4,3,-18.22319978,-6.248186715,-10.8492775,19.26460089,-2.811283882,2.083695872,-0.5369895051,-16.6836338,-9.632300377,-10.8492775,-16.80419159,-5.761651516,2.378000021
2090,1,3,3,6,5,-20.96312039,-7.500668182,-11.8114996,22.26460059,-2.797983335,2.058549697,-0.5083292716,-19.28170967,-11.13230038,-11.8114996,-19.55071449,-6.995305061,1.482499957
2091,1,1,1,1,2,-14.10370932,4.367929117,1.932899833,14.76460027,2.841260035,1.440622155,0.1305433774,-12.78651905,-7.3822999,1.932899833,-15.53654957,4.811680794,2.058000088
2091,1,3,1,6,5,-21.45372796,5.953989943,6.53270483,22.26460059,2.870878581,1.285394315,0.2893573644,-19.28170967,-11.13230038,6.53270483,-20.00832558,5.552851677,1.482499957
2091,1,1,2,1,2,-14.5721911,2.375850972,0.7034999728,14.76460027,2.979974624,1.523184587,0.04762973855,-12.78651905,-7.3822999,0.7034999728,-16.05262566,2.617221117,2.058000088
2091,1,2,2,4,3,-19.02480273,3.030136746,3.010746717,19.26460089,2.983646359,1.415766505,0.1556545833,-16.6836338,-9.632300377,3.010746717,-17.54346657,2.794199944,2.378000021
2091,1,3,2,6,5,-22.04281127,3.134790419,4.603000164,22.26460059,3.0003262,1.366927761,0.2052956303,-19.28170967,-11.13230038,4.603000164,-20.55771255,2.923588991,1.482499957
2092,2,1,1,1,2,6.710474749,13.1515374,-13.7349987,14.7645998,1.098988247,2.320083332,-0.8311945404,1.421085493e-15,14.7645998,-13.7349987,7.392164707,14.48754883,2.058000088
2092,2,2,1,4,3,8.501939958,17.2870431,-15.50770855,19.26460075,1.113722191,2.248569329,-0.7365559097,0,19.26460075,-15.50770855,7.839948177,15.94101143,2.378000021
2092,2,3,1,6,5,8.898784294,20.4089217,-16.73162079,22.26460075,1.159625238,2.215250238,-0.6943386096,-1.421085493e-15,22.26460075,-16.73162079,8.29921627,19.03384209,1.482499957
2092,1,1,2,1,2,-9.718872075,-11.11471758,-8.389499664,14.76460027,-2.289294714,2.087518204,-0.541381046,-12.78651905,-7.3822999,-8.389499664,-10.70623016,-12.24388218,2.058000088
2092,1,2,2,4,3,-12.63270315,-14.544403,-8.541999817,19.26460089,-2.285967877,1.988151441,-0.4300271685,-16.6836338,-9.632300377,-8.541999817,-11.64904308,-13.41188622,2.378000021
2092,1,3,2,6,5,-14.39666744,-16.9837689,-8.646499634,22.26460059,-2.273937385,1.941221073,-0.3791987229,-19.28170967,-11.13230038,-8.646499634,-13.42669487,-15.83949089,1.482499957
2092,1,1,3,1,2,-6.938833702,-13.03249815,-6.072428703,14.76460027,-2.060046558,1.960991405,-0.4004908073,-12.78651905,-7.3822999,-6.072428703,-7.643752098,-14.35647392,2.058000088
2092,1,2,3,4,3,-8.957251412,-17.05557078,-5.54014492,19.26460089,-2.054384735,1.850821526,-0.2837582717,-16.6836338,-9.632300377,-5.54014492,-8.259795189,-15.72753906,2.378000021
2092,1,3,3,6,5,-10.17722674,-19.8024366,-5.176000118,22.26460059,-2.045532143,1.799215672,-0.2304319648,-19.28170967,-11.13230038,-5.176000118,-9.491556168,-18.46828651,1.482499957
2093,3,1,1,1,2,14.74721283,0.7163343227,11.875,14.76460027,0.04853606853,0.8934458366,0.7360136049,12.78651905,-7.3822999,11.875,16.24536133,0.7891057134,2.058000088
2093,3,2,1,4,3,19.19117616,1.680358584,16.70678711,19.26460089,0.08733618113,0.8563855793,0.7843078688,16.6836338,-9.632300377,16.70678711,17.69682312,1.549514651,2.378000021
2093,3,3,1,6,5,22.00825675,3.368838729,20.19274521,22.26460059,0.1518925801,0.8341579981,0.8140194437,19.28170967,-11.13230038,20.19274521,20.52543259,3.141860485,1.482499957
2093,2,1,2,1,2,-10.16288186,10.71023994,-9.231659889,14.7645998,2.329977393,2.129579968,-0.5903610639,2.842170985e-15,14.7645998,-9.231659889,-11.19531536,11.79827881,2.058000088
2093,2,2,2,4,3,-13.33899942,13.89949412,-11.2037878,19.26460075,2.335620092,2.097556986,-0.5529605157,1.421085493e-15,19.26460075,-11.2037878,-12.30030441,12.81715393,2.378000021
2093,2,3,2,6,5,-15.60197011,15.88367008,-12.55550003,22.26460075,2.347247794,2.084265407,-0.5376432521,0,22.26460075,-12.55550003,-14.55082226,14.81354332,1.482499957
2093,2,1,3,1,2,1.934727769,14.63728922,-5.694978237,14.7645998,1.439380108,1.938930705,-0.3767427941,2.842170985e-15,14.7645998,-5.694978237,2.131276131,16.12428665,2.058000088
2093,2,2,3,4,3,2.50504384,19.10103656,-6.5843153,19.26460075,1.44039354,1.900132312,-0.3354560993,0,19.26460075,-6.5843153,2.309989214,17.61373901,2.378000021
2093,2,3,3,6,5,2.675875639,22.10321552,-7.209500313,22.26460075,1.450319888,1.883951533,-0.3184027012,0,22.26460075,-7.209500313,2.495596647,20.61407852,1.482499957
2094,1,1,-1,1,2,-14.76429096,-0.09547996741,12.95396709,14.76459969,-3.135125791,0.8506275051,0.7919487531,-12.7865181,-7.382300377,12.95396709,-16.2630043,-0.1051720753,2.058000088
2094,1,2,-1,4,3,-19.00338749,-3.161659871,16.29828835,19.26460041,-2.976729244,0.8686158543,0.7682039609,-16.6836338,-9.632299423,16.29828835,-17.52274323,-2.91531992,2.377999783
2094,1,3,-1,6,5,-20.2233212,-9.312878073,18.35016251,22.26460012,-2.710039737,0.8814810654,0.7514428224,-19.28170967,-11.13229942,18.35016251,-18.86053467,-8.685312271,1.482499719
2094,2,1,1,1,2,3.288804773,14.39365035,-8.317976952,14.7645998,1.346162571,2.083848712,-0.5371649237,-1.421085493e-15,14.7645998,-8.317976952,3.622919559,15.85592365,2.058000088
2094,2,2,1,4,3,4.065426572,18.83075009,-8.974192619,19.26460075,1.358166807,2.006743203,-0.4504500854,-1.421085493e-15,19.26460075,-8.974192619,3.748875141,17.36450768,2.378000021
2094,2,3,1,6,5,4.507514552,21.80354924,-9.383206367,22.26460075,1.366935128,1.969648259,-0.4098680597,-1.421085493e-15,22.26460075,-9.383206367,4.203830719,20.33458328,1.482499957
2094,2,1,2,1,2,-11.63110857,9.094543455,-5.923928738,14.7645998,2.477976564,1.952358419,-0.3911726006,1.421085493e-15,14.7645998,-5.923928738,-12.81271076,10.01845646,2.058000088
2094,2,2,2,4,3,-15.05910194,12.01450336,-5.827950001,19.26460075,2.468180339,1.864564534,-0.2980870728,0,19.26460075,-5.827950001,-13.88592339,11.0785141,2.378000021
2094,2,3,2,6,5,-17.86264287,13.29053936,-5.769999981,22.26460075,2.501916201,1.824373459,-0.2563392097,0,22.26460075,-5.769999981,-16.65916252,12.39510059,1.482499957
2094,2,1,3,1,2,7.890591735,12.47926157,1.940889597,14.7645998,1.006967384,1.440090163,0.1310799277,2.842170985e-15,14.7645998,1.940889597,8.692222595,13.74707031,2.058000088
2094,2,2,3,4,3,10.08813709,16.41201792,4.711200237,19.26460075,1.01965267,1.330951553,0.2421779392,0,19.26460075,4.711200237,9.302457809,15.1338253,2.378000021
2094,2,3,3,6,5,11.47139992,19.0819137,6.632500648,22.26460075,1.02951983,1.281272362,0.2936556981,0,22.26460075,6.632500648,10.69853306,17.79630089,1.482499957
2095,3,1,1,1,2,12.38180015,-8.042664132,-4.602749825,14.76460027,-0.5760625511,1.872990719,-0.3069017396,12.78651905,-7.3822999,-4.602749825,13.63968182,-8.859727859,2.058000088
2095,3,2,1,4,3,16.20198575,-10.42211616,-4.803062439,19.26460089,-0.5716236522,1.815135481,-0.2468073236,16.6836338,-9.632300377,-4.803062439,14.94040108,-9.61058712,2.378000021
2095,3,3,1,6,5,18.78893137,-11.94522907,-4.920656681,22.26460059,-0.5662986216,1.788307972,-0.2192473412,19.28170967,-11.13230038,-4.920656681,17.52305222,-11.14043522,1.482499957
2095,2,1,2,1,2,-8.59282557,12.00652972,-10.48471069,14.7645998,2.191968028,2.188285287,-0.6609415198,1.421085493e-15,14.7645998,-10.48471069,-9.465743065,13.22623444,2.058000088
2095,2,2,2,4,3,-11.20163747,15.67316688,-12.50926304,19.26460075,2.191321143,2.146706968,-0.6106702996,0,19.26460075,-12.50926304,-10.32944393,14.45280647,2.378000021
2095,2,3,2,6,5,-13.2584239,17.88649329,-13.82278633,22.26460075,2.208676068,2.126399611,-0.586613922,-1.421085493e-15,22.26460075,-13.82278633,-12.36513615,16.68138885,1.482499957
2095,3,1,3,1,2,6.012945254,-13.48472879,3.071543455,14.76460027,-1.151350714,1.365687538,0.2065622431,12.78651905,-7.3822999,3.071543455,6.623806953,-14.85465717,2.058000088
2095,3,2,3,4,3,7.982157431,-17.53311182,5.237822056,19.26460089,-1.143575245,1.305325214,0.2686453764,16.6836338,-9.632300377,5.237822056,7.36062336,-16.16788864,2.378000021
2095,3,3,3,6,5,9.58068116,-20.09783541,6.627500057,22.26460059,-1.125960113,1.281478664,0.2934404431,19.28170967,-11.13230038,6.627500057,8.935188293,-18.74375534,1.482499957
2096,3,1,1,1,2,3.589595279,-14.32160001,6.338699818,14.76460027,-1.325213467,1.165274493,0.4171163392,12.78651905,-7.3822999,6.338699818,3.954273224,-15.77657509,2.058000088
2096,3,2,1,4,3,4.931895352,-18.62260067,8.925682068,19.26460089,-1.311905834,1.136920557,0.4481663827,16.6836338,-9.632300377,8.925682068,4.547875404,-17.17255974,2.378000021
2096,3,3,1,6,5,6.021161797,-21.43497259,10.59640694,22.26460059,-1.296949877,1.126588897,0.4595806438,19.28170967,-11.13230038,10.59640694,5.615482807,-19.99077988,1.482499957
2096,1,1,2,1,2,-13.93377273,4.88297029,2.614166737,14.76460027,2.804524693,1.395556081,0.1761441069,-12.78651905,-7.3822999,2.614166737,-15.34934807,5.37904644,2.058000088
2096,1,2,2,4,3,-18.20787648,6.292700657,4.001939297,19.26460089,2.808840149,1.365974081,0.2062695742,-16.6836338,-9.632300377,4.001939297,-16.79008865,5.802708626,2.378000021
2096,1,3,2,6,5,-21.1258069,7.029418345,4.940499783,22.26460059,2.820375455,1.352435107,0.2201174995,-19.28170967,-11.13230038,4.940499783,-19.70244026,6.55580616,1.482499957
2096,3,1,3,1,2,14.6698104,-1.670354502,8.565475464,14.76460027,-0.1133751187,1.045110808,0.5517171625,12.78651905,-7.3822999,8.565475464,16.16011429,-1.840045571,2.058000088
2096,3,2,3,4,3,19.15545318,-2.047794125,11.84178829,19.26460089,-0.1064994976,1.019644161,0.5813819462,16.6836338,-9.632300377,11.84178829,17.66394043,-1.88834548,2.378000021
2096,3,3,3,6,5,22.16056432,-2.149843891,14.01532269,22.26460059,-0.09670951401,1.008975428,0.5939465666,19.28170967,-11.13230038,14.01532269,20.66750908,-2.004999399,1.482499957
2097,2,1,1,1,2,-2.551004499,14.54255078,2.803687572,14.7645998,1.744446164,1.383138084,0.1887694565,1.421085493e-15,14.7645998,2.803687572,-2.810168982,16.01997375,2.058000088
2097,2,2,1,4,3,-3.345898951,18.971816,4.650000095,19.26460075,1.745362783,1.333951291,0.2390909304,1.421085493e-15,19.26460075,4.650000095,-3.085360765,17.49452019,2.378000021
2097,2,3,1,6,5,-4.105381921,21.88283085,5.854642868,22.26460075,1.756248068,1.313660074,0.2600176112,1.421085493e-15,22.26460075,5.854642868,-3.828793049,20.408535,1.482499957
2097,3,1,2,1,2,14.59179608,2.252311801,-3.338928699,14.76460027,0.1531460444,1.793199567,-0.2242597059,12.78651905,-7.3822999,-3.338928699,16.07421684,2.481130362,2.058000088
2097,3,2,2,4,3,19.01075087,3.117081809,-3.345999956,19.26460089,0.1625180653,1.742767182,-0.1728248207,16.6836338,-9.632300377,-3.345999956,17.53042412,2.874361277,2.378000021
