event,sector,region,trkID,x0,y0,z0,r,phi,theta,eta,err_x0,err_y0,err_z0
1,4,1,3,-6.444355011,1.293631434,-4.505440235,6.572913646,2.943486908,2.171694084,-0.640710598,0.002675717231,0.00823501125,0.3921438158
1,5,2,3,-9.208985329,1.395837784,-4.54109478,9.314170597,2.991164225,2.024431897,-0.4700457649,0.001825697371,0.007998902351,0.3604440987
1,6,3,3,-12.00434685,1.210643411,-4.811610699,12.06523936,3.041082073,1.95026731,-0.3889203972,0.001408767304,0.007989516482,0.328527391
1,10,1,1,2.32344985,-6.381832123,-5.531529903,6.791627231,-1.221640138,2.254294237,-0.7439222576,0.008885832503,0.006455934606,0.3838330209
1,14,2,1,3.440976381,-8.652592659,-9.153569221,9.311695774,-1.192290218,2.34763124,-0.8693147333,0.006986866705,0.003364697797,0.3253782392
1,14,2,2,2.529214621,-9.091673851,-7.119389534,9.436920049,-1.299466633,2.21711945,-0.6966784413,0.008856556378,0.004265092779,0.3406034708
1,18,3,1,4.686148643,-11.09878159,-12.03576756,12.04752845,-1.171281107,2.355706148,-0.8806831351,0.006678247359,0.002430683468,0.2769537568
1,18,3,-1,2.668049097,-11.83330917,14.31350136,12.1303624,-1.34903515,0.7030274758,1.003088818,0.01070104819,0.003894864814,0.4863111675
1,18,3,-1,2.931432247,-11.73744583,5.785099983,12.09797213,-1.326052559,1.124750428,0.461617602,0.009220849723,0.003356116358,0.4121403992
1,18,3,-1,3.149688959,-11.65800667,-1.282098293,12.0759952,-1.306922429,1.676569256,-0.1059707127,0.008141704835,0.002963339211,0.3553252816
1,18,3,-1,3.231568336,-11.6282053,-3.933364391,12.06889359,-1.299728821,1.885850417,-0.3203992704,0.007770363707,0.002828181954,0.3350974023
1,18,3,-1,3.331968307,-11.59166241,-7.184334755,12.06103852,-1.290897074,2.108022,-0.5651038466,0.007339217234,0.00267125736,0.3111027479
1,18,3,2,3.406284809,-11.56461334,-9.590714455,12.05583087,-1.284352735,2.242802628,-0.7291700271,0.007036826108,0.002561195055,0.2939157784
1,18,3,-1,2.322266579,-11.95916367,12.92083836,12.18254972,-1.379000217,0.7559967182,0.9235832358,0.00914995186,0.003330308013,0.4271155596
1,18,3,-1,2.627846003,-11.8479414,4.07720089,12.13586791,-1.352531974,1.246681068,0.3299437523,0.009782925248,0.003560691606,0.3980211616
1,18,3,-1,2.870858431,-11.75949287,-2.955718994,12.10485443,-1.331348876,1.810286428,-0.2418128309,0.008531138301,0.003105078824,0.3424810171
1,18,3,-1,3.075062275,-11.68516827,-8.865493774,12.08301144,-1.313471172,2.203793689,-0.6800687046,0.007594507188,0.002764173318,0.299036175
1,18,3,-1,3.152341366,-11.65704155,-11.10199356,12.07575562,-1.306689539,2.314206386,-0.8231896578,0.007266890258,0.002644930733,0.2833630443
1,18,3,-1,3.247606993,-11.62236786,-13.85902977,12.06757581,-1.298318757,2.425181965,-0.9825499018,0.006882822141,0.002505141543,0.2646223307
1,18,3,-1,3.318484306,-11.59657001,-15.91026497,12.06203856,-1.292083857,2.492909041,-1.09000445,0.006610983051,0.002406200394,0.2510950267
1,18,3,-1,2.317856073,-11.9607687,6.7730546,12.18328546,-1.379380705,1.063411691,0.530669947,0.008629397489,0.003140837187,0.3790132999
1,18,3,-1,2.607463837,-11.85536098,-1.112440228,12.13871705,-1.354303595,1.662185022,-0.09151617253,0.00930987671,0.003388511483,0.3566353917
1,18,3,-1,2.839793921,-11.77079964,-7.438369751,12.10851575,-1.334062655,2.12167074,-0.5810559439,0.00816957932,0.00297347852,0.3092566133
1,18,3,-1,3.036420822,-11.69923306,-12.79216576,12.08684845,-1.316859039,2.384536788,-0.9220401879,0.00730495574,0.002658782527,0.2717959285
1,18,3,-1,3.111168623,-11.67202759,-14.82741261,12.0795529,-1.310303686,2.457966137,-1.033447381,0.006999952253,0.002547770739,0.2581892908
1,18,3,-1,3.203569174,-11.63839626,-17.34331322,12.07125192,-1.302189673,2.533544418,-1.15915576,0.006640575361,0.002416968578,0.2418519408
1,18,3,-1,2.313702822,-11.96228027,0.9840808511,12.18398006,-1.37973896,1.490202852,0.08068086347,0.008138049394,0.002962004626,0.3364837766
1,18,3,-1,2.58807826,-11.86241627,-6.048271179,12.14146074,-1.35598779,2.032963007,-0.4795567082,0.008854812011,0.003222885076,0.3195129335
1,18,3,-1,2.810008287,-11.78164005,-11.73642635,12.11210918,-1.336663136,2.340442925,-0.8592702273,0.007817217149,0.002845232142,0.2791068256
1,18,3,-1,2.999113321,-11.71281147,-16.58326149,12.09068374,-1.32012786,2.511609051,-1.121347666,0.007020479068,0.002555243671,0.2468316257
1,18,3,-1,2.311651468,-11.963027,-1.874900103,12.18432384,-1.379915894,1.723476822,-0.153277174,0.007895084098,0.002873575548,0.3161982298
1,18,3,-1,2.57845521,-11.86591816,-8.498444557,12.14283513,-1.356823538,2.181437168,-0.6525626626,0.008627669886,0.003140214831,0.3016380668
1,18,3,-1,2.795164585,-11.78704262,-13.87837505,12.11393077,-1.337958513,2.423973836,-0.9807114282,0.007640379481,0.002780870767,0.2644796073
1,18,3,-1,2.309519291,-11.96380329,-4.846818447,12.18468172,-1.380099792,1.949387146,-0.3879729896,0.007642125711,0.002781512914,0.2960324585
1,18,3,-1,2.568385124,-11.86958313,-11.06240749,12.14428285,-1.357697914,2.309609105,-0.8169578893,0.008388082497,0.003053019056,0.2837269306
1,18,3,-1,2.7795434,-11.79272747,-16.13249969,12.11586904,-1.339321302,2.497437514,-1.097522712,0.007451952901,0.002712294459,0.2497257292
1,18,3,-1,2.307076216,-11.96469212,-8.252102852,12.18509163,-1.38031048,2.166076018,-0.6339124494,0.007352038287,0.002675921656,0.273511976
